001 	Bulbasaur 	128 	118 	111    011 008
002 	Ivysaur 	  155 	151 	143    011 008
003 	Venusaur 	  190 	198 	189    011 008
004 	Charmander 	118 	116 	093    001 000
005 	Charmeleon 	151 	158 	126    001 000
006 	Charizard 	186 	223 	173    001 017
007 	Squirtle 	  127 	094 	121    009 000
008 	Wartortle 	153 	126 	155    009 000
009 	Blastoise 	188 	171 	207    009 000
010 	Caterpie 	  128 	055 	055    011 000
011 	Metapod 	  137 	045 	080    011 000
012 	Butterfree 	155 	167 	137    011 017
013 	Weedle 	    120 	063 	050    011 008
014 	Kakuna 	    128 	046 	075    011 008
015 	Beedrill 	  163 	169 	130    011 008
016 	Pidgey 	    120 	085 	073    004 017
017 	Pidgeotto 	160 	117 	105    004 017
018 	Pidgeot 	  195 	166 	154    004 017
019 	Rattata 	  102 	103 	070    004 000
020 	Raticate 	  146 	161 	139    004 000
021 	Spearow 	  120 	112 	060    004 017
022 	Fearow 	    163 	182 	133    004 017
023 	Ekans 	    111 	110 	097    008 000
024 	Arbok 	    155 	167 	153    008 000
025 	Pikachu  	  111 	112 	096    010 000
026 	Raichu 	    155 	193 	151    010 000
027 	Sandshrew 	137 	126 	120    003 000
028 	Sandslash 	181 	182 	175    003 000
029 	Nidoran 	  146 	086 	089    008 000
030 	Nidorina 	  172 	117 	120    008 000
031 	Nidoqueen 	207 	180 	173    008 003
032 	Nidoran 	  130 	105 	076    008 000
033 	Nidorino 	  156 	137 	111    008 000
034 	Nidoking 	  191 	204 	156    008 003
035 	Clefairy 	  172 	107 	108    006 000
036 	Clefable 	  216 	178 	162    006 000
037 	Vulpix 	    116 	096 	109    001 000
038 	Ninetales 	177 	169 	190    001 000    
039 	Jigglypuff 	251 	080 	041    004 006
040 	Wigglytuff 	295 	156 	090    004 006
041 	Zubat 	    120 	083 	073    008 017
042 	Golbat 	    181 	161 	150    008 017
043 	Oddish 	    128 	131 	112    002 008
044 	Gloom 	    155 	153 	136    002 008
045 	Vileplume 	181 	202 	167    002 008
046 	Paras 	    111 	121 	099    011 002
047 	Parasect 	155 	165 	146    011 002
048 	Venonat 	155 	100 	100    011 008
049 	Venomoth 	172 	179 	143    011 008
050 	Diglett 	67  	109 	078    003 000
051 	Dugtrio 	111 	167 	134    003 000
052 	Meowth 	        120 	092  	078    004 000
053 	Persian 	163 	150 	136    004 000
054 	Psyduck 	137 	122 	095    009 000
055 	Golduck 	190 	191 	162    009 000
056 	Mankey 	        120 	148 	082    007 000
057 	Primeape 	163 	207 	138    007 000
058 	Growlithe 	146 	136 	093    001 000
059 	Arcanine 	207 	227 	166    001 000
060 	Poliwag 	120 	101 	082    009 000
061 	Poliwhirl 	163 	130 	123    009 000
062 	Poliwrath 	207 	182 	184    009 007
063 	Abra 	        93 	195 	082    018 000
064 	Kadabra 	120 	232 	117    018 000
065 	Alakazam 	146 	271 	167    018 000
066 	Machop 	        172 	137 	082    007 000
067 	Machoke 	190 	177 	125    007 000
068 	Machamp 	207 	234 	159    007 000
069 	Bellsprout 	137 	139 	061    002 008
070 	Weepinbell 	163 	172 	092    002 008
071 	Victreebel 	190 	207 	135    002 008
072 	Tentacool 	120 	097 	149    009 008
073 	Tentacruel 	190 	166 	209    009 008
074 	Geodude 	120 	132 	132    005 003
075 	Graveler 	146 	164 	164    005 003
076 	Golem 	        190 	211 	198    005 003
077 	Ponyta 	        137 	170 	127    001 000
078 	Rapidash 	163 	207 	162    001 000
079 	Slowpoke 	207 	109 	098    009 018
080 	Slowbro 	216 	177 	180    009 018
081 	Magnemite 	93 	165 	121    010 013
082 	Magneton 	137 	223 	169    010 013
083 	Farfetchd 	141 	124 	115    004 017
084 	Doduo 	        111 	158 	083    004 017
085 	Dodrio 	        155 	218 	140    004 017
086 	Seel 	        163 	085 	121    009 000
087 	Dewgong 	207 	139 	177    009 012  
088 	Grimer 	        190 	135 	090    008 000
089 	Muk 	        233 	190 	172    008 000
090 	Shellder 	102 	116 	134    009 000
091 	Cloyster 	137 	186 	256    009 012
092 	Gastly 	        102 	186 	067    015 008
093 	Haunter 	128 	223 	107    015 008
094 	Gengar   	155 	261 	149    015 008
095 	Onix 	        111 	085 	232    005 003
096 	Drowzee 	155 	089 	136    018 000
097 	Hypno 	        198 	144 	193    018 000
098 	Krabby 	        102 	181 	124    009 000
099 	Kingler 	146 	240 	181    009 000
100 	Voltorb 	120 	109 	111    010 000
101 	Electrode 	155 	173 	173    010 000
102 	Exeggcute 	155 	107 	125    002 018
103 	Exeggutor 	216 	233 	149    002 018
104 	Cubone  	137 	090  	144    003 000
105 	Marowak 	155 	144 	186    003 000
106 	Hitmonlee 	137 	224 	181    007 000
107 	Hitmonchan 	137 	193 	197    007 000
108 	Lickitung 	207 	108 	137    004 000
109 	Koffing 	120 	119 	141    008 000
110 	Weezing 	163 	174 	197    008 000
111 	Rhyhorn 	190 	140 	127    003 005
112 	Rhydon 	        233 	222 	171    003 005
113 	Chansey 	487 	060 	128    004 000
114 	Tangela 	163 	183 	169    002 000
115 	Kangaskhan 	233 	181 	165    004 000
116 	Horsea 	        102 	129 	103    009 000
117 	Seadra 	        146 	187 	156    009 000
118 	Goldeen 	128 	123 	110    009 000
119 	Seaking 	190 	175 	147    009 000
120 	Staryu 	        102 	137 	112    009 000
121 	Starmie 	155 	210 	184    009 018
122 	Mr.Mime 	120 	192 	205    018 006
123 	Scyther 	172 	218 	170    011 017
124 	Jynx 	        163 	223 	151    012 018
125 	Electabuzz 	163 	198 	158    010 000
126 	Magmar 	        163 	206 	154    001 000
127 	Pinsir 	        163 	238 	182    011 000
128 	Tauros 	        181 	198 	183    004 000
129 	Magikarp 	85 	029 	085    009 000
130 	Gyarados 	216 	237 	186    009 017
131 	Lapras 	        277 	165 	174    009 012
132 	Ditto 	        134 	091 	091    004 000
133 	Eevee 	        146 	104 	114    004 000
134 	Vaporeon 	277 	205 	161    009 000
135 	Jolteon 	163 	232 	182    010 000
136 	Flareon 	163 	246 	179    001 000
137 	Porygon 	163 	153 	136    004 000 
138 	Omanyte 	111 	155 	153    005 009
139 	Omastar 	172 	207 	201    005 009
140 	Kabuto 	        102 	148 	140    005 009
141 	Kabutops 	155 	220 	186    005 009
142 	Aerodactyl 	190 	221 	159    005 017
143 	Snorlax 	330 	190 	169    004 000
144 	Articuno 	207 	192 	236    012 017
145 	Zapdos 	        207 	253 	185    010 017
146 	Moltres 	207 	251 	181    001 017
147 	Dratini 	121 	119 	091    016 000
148 	Dragonair 	156 	163 	135    016 000
149 	Dragonite 	209 	263 	198    016 017
150 	Mewtwo 	        214 	300 	182    018 000
151 	Mew 	        225 	210 	210    018 000
